date_time,data_set,loss_func,rnd_seed_input,rnd_search_iter,rnd_search_iter_no,beta,eta,epochs,patience,early_stop_delay,batch_size,learning_rate,lambda_mod,n_layers,n_units,prob_drop,epoch_stopped_on,loss_mse_train,loss_rmse_train,loss_mae_train,loss_rmsle_train,r2_train,loss_mse_val,loss_rmse_val,loss_mae_val,loss_rmsle_val,r2_val,r2_val_avg,r2_train1_1_avg,r2_train2_1_avg,r2_train3_1_avg,r2_val1_2_avg,r2_val2_2_avg,r2_val3_2_avg,date_time_seed,model_checkpoint_name,r2_test,r2_test_avg,loss_mae_test,loss_rmse_test,loss_rmsle_test,weibull_loss,prob_drop_true,mse,rmse,rmsle,weibull_mse,weibull_rmse,weibull_rmsle,weibull_only_mse,weibull_only_rmse,weibull_only_rmsle
2021_04_06_21:34:43,femto,weibull_only_rmsle,5018061,3000,0,2.0,0.199976726035066,2000,50,0,32,0.01,2.277288339434059,2,32,0.25,250,0.0537216511103465,0.2361076325178146,0.1868358701467514,0.1465031206607818,0.3288224424240492,0.0627410933375358,0.2504817247390747,0.1868358701467514,0.1673738807439804,0.2457372199365645,0.4907782553728974,0.4003438546113874,0.4187886096621979,0.3169250832071303,0.434232586065971,0.3428333883831768,0.2793967380280028,2021_04_06_21:34:43_5018061,2021_04_06_21:34:43_weibull_only_rmsle_5018061.pt,0.6228667224504658,0.880040141370133,0.146225243806839,0.17712071537971497,0.1312049776315689,1,1,0,0,0,0,0,0,0,0,1
2021_04_06_18:22:55,femto,weibull_only_rmsle,1452705,3000,8,2.0,0.199976726035066,2000,50,0,512,0.001,1.8163139076905388,7,128,0.0,149,0.0647701848712232,0.2364173084497451,0.1994543671607971,0.152064710855484,0.3270606829500632,0.0608277581632137,0.2466328591108322,0.1994543671607971,0.1606968343257904,0.2687390428642113,0.3519750307294672,0.4232360381036592,0.2430950888344774,0.1566390322224329,0.2878564853461598,0.3430616190105194,0.2522159670280384,2021_04_06_18:22:55_1452705,2021_04_06_18:22:55_weibull_only_rmsle_1452705.pt,0.6224558170263998,0.894751829006823,0.13167601823806763,0.17721718549728394,0.11588575690984726,1,0,0,0,0,0,0,0,0,0,1
2021_04_06_17:27:06,femto,weibull_only_rmse,5373070,3000,7,2.0,0.199976726035066,2000,50,0,512,0.0001,0.00585040864437,7,128,0.25,160,0.0464861881401803,0.2149252444505691,0.1681478172540664,0.1363593935966491,0.4438497005982343,0.0648061037063598,0.2545704543590545,0.1681478172540664,0.1648605316877365,0.220911980173314,0.3113858346565797,0.6526952938945054,0.1486150264691529,0.0324393012583349,0.0998766219757851,0.2893931923533527,0.2528394440779188,2021_04_06_17:27:06_5373070,2021_04_06_17:27:06_weibull_only_rmse_5373070.pt,0.6071910768413922,0.8592503630744825,0.1330602914094925,0.18076427280902863,0.12151961028575897,1,1,0,0,0,0,0,0,0,1,0
2021_04_06_22:14:15,femto,weibull_only_rmse,1355603,3000,8,2.0,0.199976726035066,2000,50,0,512,0.0001,0.9511454656304866,6,64,0.1,259,0.0496013673643271,0.2220111042261123,0.1785234659910202,0.1412381082773208,0.4065737593812154,0.0643883720040321,0.2537486553192138,0.1785234659910202,0.1644893884658813,0.2259338870552886,0.3182822661471286,0.5890079444157867,0.1516044789579844,0.0529595489002693,0.1102048165399849,0.3002074866632876,0.2744540743971098,2021_04_06_22:14:15_1355603,2021_04_06_22:14:15_weibull_only_rmse_1355603.pt,0.6008438851924277,0.8533082451585332,0.13199427723884583,0.18221886456012726,0.12087908387184143,1,1,0,0,0,0,0,0,0,1,0
2021_04_06_22:05:45,femto,weibull_only_mse,2183353,3000,7,2.0,0.199976726035066,2000,50,0,512,0.0001,1.044096494366159,2,32,0.6,1950,0.0495195281174447,0.2208234369754791,0.1845557242631912,0.1415716558694839,0.4129059217710867,0.0616332776844501,0.2490143626928329,0.1845557242631912,0.1680142134428024,0.2545486503073039,0.4174801527102292,0.4881181542434801,0.4688655816773311,0.2678896162634403,0.3630586041913325,0.3553816435866752,0.2703838533086163,2021_04_06_22:05:45_2183353,2021_04_06_22:05:45_weibull_only_mse_2183353.pt,0.5998188127054231,0.8201490593815166,0.144451305270195,0.18245269358158112,0.1265885829925537,1,1,0,0,0,0,0,0,1,0,0
2021_04_07_08:31:00,femto,weibull_only_rmse,7555654,3000,6,2.0,0.199976726035066,2000,50,0,512,0.01,1.1843333345392666,6,16,0.1,17,0.0477477345201704,0.2135316431522369,0.1740457564592361,0.1360100954771042,0.4510385320360887,0.065450794994831,0.2558335363864898,0.1740457564592361,0.1685922741889953,0.2131617010750648,0.3497436594200703,0.5822209243526619,0.354827831781257,0.1907019056931354,0.1439227226849174,0.279562492419054,0.2916965587788437,2021_04_07_08:31:00_7555654,2021_04_07_08:31:00_weibull_only_rmse_7555654.pt,0.5966614318405842,0.819210425648686,0.14000479876995087,0.18317103385925293,0.12606854736804962,1,1,0,0,0,0,0,0,0,1,0
2021_04_06_20:58:52,femto,weibull_only_rmse,4620582,3000,6,2.0,0.199976726035066,2000,50,0,256,0.01,1.903001748479564,3,16,0.1,11,0.0515450164675712,0.2200106680393219,0.1838972717523574,0.1403769105672836,0.4172197518244234,0.066215805709362,0.2573243379592895,0.1838972717523574,0.1691518872976303,0.2039648557316264,0.3207430049731953,0.5661342730850143,0.2262329809989474,0.1415559692810057,0.0717631296343783,0.2687276307017435,0.2760073072406336,2021_04_06_20:58:52_4620582,2021_04_06_20:58:52_weibull_only_rmse_4620582.pt,0.5951808281429147,0.8453096785909904,0.1339784562587738,0.18350693583488464,0.12175483256578445,1,1,0,0,0,0,0,0,0,1,0
2021_04_06_22:59:32,femto,weibull_rmsle,6358466,3000,3,2.0,0.199976726035066,2000,50,0,512,0.01,2.8430180899238366,3,16,0.0,19,0.0493379371861616,0.2196689844131469,0.188221663236618,0.141908660531044,0.4190284437493851,0.0639165043830871,0.2528171241283417,0.188221663236618,0.1673665791749954,0.2316066493256238,0.3125486018843494,0.5587888574789455,0.2437919769907067,0.1329513014169234,0.1015141723158234,0.3120086550862851,0.2744589364790064,2021_04_06_22:59:32_6358466,2021_04_06_22:59:32_weibull_rmsle_6358466.pt,0.591908863276623,0.8371785492455207,0.13127927482128143,0.18424704670906067,0.12164928764104843,1,0,0,0,0,0,0,1,0,0,0
2021_04_06_18:48:20,femto,weibull_mse,8225743,3000,3,2.0,0.199976726035066,2000,50,0,32,0.1,1.5902857076903274,4,16,0.2,1,0.0640752076905107,0.2492686957120895,0.2264447212219238,0.1654979735612869,0.251911672946522,0.0648397430777549,0.2546365261077881,0.2264447212219238,0.1755996197462082,0.2205076115354136,0.2939884674877985,0.2607973415288879,0.3417233126446919,0.2372399243204105,0.3000473511633147,0.3250808573298193,0.1431604110548719,2021_04_06_18:48:20_8225743,2021_04_06_18:48:20_weibull_mse_8225743.pt,0.5841630611541226,0.7861312864784636,0.148049995303154,0.18598739802837372,0.12926878035068512,1,1,0,0,0,1,0,0,0,0,0
2021_04_07_07:38:27,femto,weibull_only_rmse,719123,3000,1,2.0,0.199976726035066,2000,50,0,32,0.01,2.937522875260927,2,64,0.0,30,0.0522681559915795,0.2286394238471985,0.1810546517372131,0.1412243843078613,0.3706102768501833,0.0626218691468238,0.2502436339855194,0.1810546517372131,0.1647014766931533,0.247170515818218,0.409743939481266,0.4716375591573769,0.3865074474157735,0.1634470399099172,0.0966719978062178,0.3587118320040769,0.3565292149607736,2021_04_07_07:38:27_719123,2021_04_07_07:38:27_weibull_only_rmse_719123.pt,0.5798979122130492,0.8644974821333409,0.15164613723754883,0.18693876266479492,0.13108476996421814,1,0,0,0,0,0,0,0,0,1,0
