date_time,data_set,loss_func,rnd_seed_input,rnd_search_iter,rnd_search_iter_no,beta,eta,epochs,patience,early_stop_delay,batch_size,learning_rate,lambda_mod,n_layers,n_units,prob_drop,epoch_stopped_on,loss_mse_train,loss_rmse_train,loss_mae_train,loss_rmsle_train,r2_train,loss_mse_val,loss_rmse_val,loss_mae_val,loss_rmsle_val,r2_val,r2_val_avg,r2_train_2_avg,r2_train_3_avg,date_time_seed,model_checkpoint_name,r2_test,r2_test_avg,loss_mae_test,loss_rmse_test,loss_rmsle_test,weibull_loss,prob_drop_true,mse,rmse,rmsle,weibull_mse,weibull_rmse,weibull_rmsle,weibull_only_mse,weibull_only_rmse,weibull_only_rmsle
2021_04_05_17:06:26,ims,weibull_rmse,3405377,3000,14,2.0,63.89398092270162,2000,50,0,512,0.01,0.5336603742284208,4,32,0.0,2,0.0627520744999249,0.2543736398220062,0.2132255136966705,0.1728615462779998,0.2211457082646062,0.0484409853816032,0.2200931459665298,0.2132255136966705,0.1553622782230377,0.3976012576052883,0.4296165622485559,0.6186551753818266,0.2035281923117262,2021_04_05_17:06:26_3405377,2021_04_05_17:06:26_weibull_rmse_3405377.pt,0.7352563098216971,0.754082013431058,0.11300204694271088,0.1459074169397354,0.10752777755260468,1,0,0,0,0,0,1,0,0,0,0
2021_04_05_17:28:24,ims,weibull_rmsle,6474908,3000,13,2.0,63.89398092270162,2000,50,0,256,0.001,1.5673275091964445,5,256,0.0,3,0.0596109956245997,0.2483386397361755,0.208263412117958,0.1691364794969558,0.2576640871068796,0.050324223935604,0.2243306338787078,0.208263412117958,0.1574058532714843,0.374181809977354,0.4118318225298248,0.6929234814953775,0.2371800586197833,2021_04_05_17:28:24_6474908,2021_04_05_17:28:24_weibull_rmsle_6474908.pt,0.7351518339118925,0.7567900713247757,0.10902544111013412,0.14593620598316193,0.10777942091226578,1,0,0,0,0,0,0,1,0,0,0
2021_04_05_13:09:38,ims,weibull_rmsle,8095234,3000,13,2.0,63.89398092270162,2000,50,0,512,0.1,0.5248295724533599,2,16,0.5,2,0.0599608597656091,0.254219651222229,0.2124945521354675,0.1716316491365432,0.2220884476587511,0.05692895129323,0.2385978996753692,0.2124945521354675,0.166835069656372,0.2920472459725829,0.3274109609872599,0.6241089514550088,0.2180844178401443,2021_04_05_13:09:38_8095234,2021_04_05_13:09:38_weibull_rmsle_8095234.pt,0.7337480419736437,0.7590048516948789,0.12037891894578934,0.14632244408130646,0.10344722121953964,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_17:20:33,ims,weibull_rmsle,3860637,3000,6,2.0,63.89398092270162,2000,50,0,256,0.1,0.6451107891055512,2,32,0.2,1,0.0652937091373164,0.2576231956481933,0.2149372398853302,0.1736789643764495,0.2011194506026206,0.0471595115959644,0.2171624451875686,0.2149372398853302,0.1526560634374618,0.4135372503018233,0.4514916405938938,0.6352619958315324,0.1905694076871721,2021_04_05_17:20:33_3860637,2021_04_05_17:20:33_weibull_rmsle_3860637.pt,0.7329593682834414,0.7574176322088311,0.12087227404117584,0.14653900265693665,0.10329482704401016,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_16:20:38,ims,rmsle,5826015,3000,6,2.0,63.89398092270162,2000,50,0,256,0.001,2.704407785411433,5,64,0.0,4,0.0599044308323284,0.2456264346837997,0.2062835842370987,0.1678920090198516,0.2737901522446635,0.0528338737785816,0.2298562377691269,0.2062835842370987,0.1613576114177703,0.3429724311535782,0.3599789241987455,0.6720874565618022,0.2616849129447031,2021_04_05_16:20:38_5826015,2021_04_05_16:20:38_rmsle_5826015.pt,0.7289871671981147,0.746162487482324,0.10817378759384155,0.14762485027313232,0.10963166505098343,0,0,0,0,1,0,0,0,0,0,0
2021_04_05_13:54:15,ims,mse,6761667,3000,3,2.0,63.89398092270162,2000,50,0,512,0.01,0.820057917242374,3,128,0.25,3,0.0576493116716543,0.2438903301954269,0.2043930888175964,0.1661632359027862,0.2840196440246125,0.0547013320028781,0.233883187174797,0.2043930888175964,0.1638769060373306,0.3197492860566602,0.347137741275256,0.7098951300689453,0.2715561617664159,2021_04_05_13:54:15_6761667,2021_04_05_13:54:15_mse_6761667.pt,0.726209903441537,0.7500099753785167,0.1098942756652832,0.14837932586669922,0.10837854444980621,0,1,1,0,0,0,0,0,0,0,0
2021_04_05_13:38:15,ims,rmsle,6113651,3000,3,2.0,63.89398092270162,2000,50,0,512,0.1,0.9812953779666312,2,128,0.4,2,0.0631736144423484,0.2517709732055664,0.2115159332752227,0.1701702326536178,0.2370022837886747,0.0543719604611396,0.2331780046224594,0.2115159332752227,0.1641649007797241,0.3238452210141889,0.3521632587072443,0.6180638912416965,0.2232516685238839,2021_04_05_13:38:15_6113651,2021_04_05_13:38:15_rmsle_6113651.pt,0.7253634161223035,0.7458977376205299,0.11921742558479309,0.1486085206270218,0.10711701214313507,0,1,0,0,1,0,0,0,0,0,0
2021_04_05_13:41:35,ims,weibull_rmse,2034957,3000,5,2.0,63.89398092270162,2000,50,0,512,0.01,0.0668982743220257,4,64,0.1,3,0.0575053970019022,0.2461462020874023,0.2050306648015976,0.1674074530601501,0.2707134475531558,0.05624645575881,0.2371633648872375,0.2050306648015976,0.1647645980119705,0.3005345777274987,0.3128935709790994,0.7393554591720115,0.2682790973681876,2021_04_05_13:41:35_2034957,2021_04_05_13:41:35_weibull_rmse_2034957.pt,0.7244551784074247,0.7488698356496357,0.11749798059463501,0.148854061961174,0.10682912915945053,1,1,0,0,0,0,1,0,0,0,0
2021_04_05_13:37:08,ims,weibull_rmsle,6113651,3000,2,2.0,63.89398092270162,2000,50,0,256,0.1,0.2155744011582252,2,128,0.4,1,0.0737422663590003,0.2468843162059784,0.2076763808727264,0.1678538471460342,0.2663330546299047,0.0516752004623413,0.2273218184709549,0.2076763808727264,0.1605599969625473,0.3573814309373013,0.3844154058876592,0.6237657609555376,0.2610071294873983,2021_04_05_13:37:08_6113651,2021_04_05_13:37:08_weibull_rmsle_6113651.pt,0.7243973011063496,0.7427802549977547,0.11901326477527618,0.14886969327926636,0.10775462538003922,1,1,0,0,0,0,0,1,0,0,0
2021_04_05_16:53:21,ims,weibull_rmsle,3405377,3000,11,2.0,63.89398092270162,2000,50,0,256,0.01,1.532642198175254,3,32,0.0,2,0.0628138729210557,0.2460849732160568,0.2067893892526626,0.1684334278106689,0.2710761461779629,0.0512420646846294,0.2263671308755874,0.2067893892526626,0.1601805686950683,0.3627677784150898,0.3849363269859219,0.644352076637146,0.2586807100544912,2021_04_05_16:53:21_3405377,2021_04_05_16:53:21_weibull_rmsle_3405377.pt,0.7230798879469515,0.7376696635047327,0.1151653602719307,0.14922507107257843,0.10965880006551743,1,0,0,0,0,0,0,1,0,0,0
